Epoch;Iterations;Time [s];Data;G_GAN;G_L1;D_real;D_fake
57;10032;0.009;0.007;0.356;1.538;0.213;0.209
57;10432;0.003;0.006;0.348;1.540;0.184;0.262
57;10832;0.003;0.055;0.237;1.549;0.342;0.116
57;11232;0.003;0.008;0.321;1.461;0.184;0.287
57;11632;0.003;0.007;0.327;1.419;0.213;0.228
57;12032;0.009;0.007;0.261;1.531;0.213;0.231
57;12432;0.003;0.006;0.313;1.879;0.203;0.255
57;12832;0.003;0.084;0.202;2.151;0.390;0.095
57;13232;0.004;0.009;0.244;1.566;0.316;0.102
57;13632;0.003;0.007;0.274;1.993;0.295;0.097
57;14032;0.010;0.007;0.480;1.460;0.176;0.215
57;14432;0.003;0.012;0.107;1.873;0.357;0.043
57;14832;0.003;0.006;0.390;1.585;0.149;0.242
57;15232;0.003;0.009;0.536;1.802;0.174;0.252
57;15632;0.003;0.010;0.290;1.983;0.255;0.040
57;16032;0.009;0.087;0.571;1.445;0.142;0.280
57;16432;0.003;0.010;0.365;1.463;0.280;0.126
57;16832;0.004;0.008;0.408;1.566;0.222;0.139
57;17232;0.004;0.006;0.359;1.361;0.202;0.198
57;17632;0.003;0.054;0.433;1.428;0.141;0.332
57;18032;0.010;0.006;0.377;1.797;0.174;0.198
57;18432;0.004;0.006;0.455;2.051;0.135;0.312
57;18832;0.003;0.009;0.518;1.757;0.163;0.179
57;19232;0.003;0.068;0.289;1.929;0.289;0.162
57;19632;0.003;0.007;0.549;1.682;0.131;0.247
57;20032;0.010;0.011;0.483;1.887;0.161;0.229
57;20432;0.003;0.006;0.412;1.592;0.221;0.167
57;20832;0.003;0.013;0.365;1.904;0.240;0.111
57;21232;0.003;0.061;0.468;1.826;0.170;0.169
57;21632;0.003;0.007;0.422;1.950;0.126;0.263
57;22032;0.009;0.091;0.283;1.692;0.271;0.127
57;22432;0.003;0.006;0.437;1.749;0.156;0.160
57;22832;0.003;0.057;0.508;1.689;0.100;0.340
57;23232;0.003;0.006;0.348;1.661;0.184;0.212
57;23632;0.003;0.108;0.521;1.994;0.164;0.230
57;24032;0.009;0.009;0.496;1.857;0.205;0.213
57;24432;0.004;0.008;0.385;1.835;0.220;0.119
57;24832;0.003;0.006;0.391;1.579;0.183;0.214
57;25232;0.003;0.101;0.380;1.890;0.233;0.154
57;25632;0.004;0.006;0.384;1.884;0.249;0.133
57;26032;0.009;0.009;0.454;1.613;0.171;0.193
57;26432;0.004;0.007;0.456;1.628;0.257;0.145
57;26832;0.003;0.114;0.345;1.650;0.204;0.211
57;27232;0.004;0.009;0.323;1.692;0.199;0.236
57;27632;0.004;0.007;0.189;1.588;0.297;0.129
57;28032;0.010;0.013;0.301;1.555;0.231;0.215
57;28432;0.003;0.009;0.292;1.960;0.217;0.110
57;28832;0.004;0.014;0.434;2.036;0.175;0.289
57;29232;0.003;0.010;0.372;1.759;0.187;0.199
57;29632;0.004;0.006;0.259;1.699;0.366;0.078
57;30032;0.010;0.071;0.533;1.517;0.104;0.326
57;30432;0.003;0.009;0.325;1.900;0.232;0.222
57;30832;0.003;0.010;0.385;1.646;0.211;0.170
58;304;0.010;0.006;0.607;1.867;0.083;0.286
58;704;0.004;0.007;0.568;1.594;0.177;0.219
58;1104;0.010;0.068;0.407;1.731;0.192;0.234
58;1504;0.003;0.006;0.287;1.933;0.267;0.128
58;1904;0.004;0.010;0.509;1.482;0.158;0.428
58;2304;0.004;0.017;0.320;1.768;0.249;0.161
58;2704;0.003;0.104;0.266;1.422;0.274;0.181
58;3104;0.009;0.012;0.471;1.539;0.134;0.206
58;3504;0.003;0.007;0.300;1.952;0.311;0.105
58;3904;0.003;0.010;0.230;1.796;0.384;0.069
58;4304;0.003;0.068;0.421;1.684;0.228;0.181
58;4704;0.004;0.010;0.258;1.562;0.364;0.110
58;5104;0.010;0.011;0.746;1.477;0.074;0.300
58;5504;0.004;0.006;0.442;1.677;0.181;0.238
58;5904;0.003;0.080;0.495;1.974;0.137;0.273
58;6304;0.003;0.010;0.303;1.536;0.276;0.112
58;6704;0.004;0.007;0.333;1.818;0.250;0.242
58;7104;0.010;0.006;0.240;1.686;0.291;0.187
58;7504;0.003;0.008;0.273;1.758;0.244;0.204
58;7904;0.003;0.072;0.320;2.825;0.185;0.234
58;8304;0.003;0.006;0.280;1.737;0.256;0.149
58;8704;0.003;0.009;0.421;1.601;0.191;0.195
58;9104;0.009;0.006;0.450;2.025;0.166;0.289
58;9504;0.003;0.012;0.357;1.708;0.293;0.113
58;9904;0.004;0.006;0.428;1.965;0.209;0.209
58;10304;0.003;0.007;0.247;1.421;0.277;0.164
58;10704;0.003;0.008;0.402;1.558;0.170;0.250
58;11104;0.009;0.097;0.414;1.487;0.170;0.235
58;11504;0.004;0.006;0.257;1.827;0.234;0.181
58;11904;0.004;0.009;0.289;1.643;0.220;0.131
58;12304;0.003;0.008;0.391;1.840;0.198;0.235
58;12704;0.003;0.022;0.400;1.578;0.191;0.234
58;13104;0.010;0.071;0.354;1.692;0.118;0.354
58;13504;0.004;0.006;0.321;1.804;0.280;0.186
58;13904;0.003;0.007;0.352;2.075;0.250;0.157
58;14304;0.003;0.111;0.539;1.718;0.144;0.338
58;14704;0.004;0.007;0.414;2.085;0.201;0.126
58;15104;0.010;0.008;0.457;1.782;0.139;0.246
58;15504;0.004;0.008;0.581;1.706;0.126;0.251
58;15904;0.003;0.114;0.428;2.191;0.252;0.189
58;16304;0.004;0.010;0.619;1.629;0.103;0.183
58;16704;0.004;0.009;0.328;1.567;0.156;0.246
58;17104;0.010;0.010;0.445;1.894;0.117;0.289
58;17504;0.003;0.008;0.309;1.825;0.226;0.176
58;17904;0.004;0.006;0.330;1.537;0.180;0.255
58;18304;0.003;0.007;0.591;1.912;0.093;0.195
58;18704;0.003;0.007;0.503;1.833;0.119;0.350
58;19104;0.009;0.101;0.487;1.846;0.115;0.280
58;19504;0.004;0.007;0.517;1.561;0.088;0.357
58;19904;0.003;0.032;0.283;1.548;0.218;0.191
58;20304;0.003;0.007;0.548;2.037;0.114;0.330
58;20704;0.003;0.011;0.366;1.763;0.284;0.122
58;21104;0.011;0.006;0.376;1.844;0.203;0.186
58;21504;0.003;0.009;0.359;2.235;0.187;0.185
58;21904;0.004;0.009;0.752;2.257;0.069;0.335
58;22304;0.003;0.059;0.275;1.699;0.265;0.137
58;22704;0.003;0.006;0.388;1.761;0.138;0.303
58;23104;0.009;0.011;0.279;1.525;0.331;0.093
58;23504;0.003;0.014;0.417;1.665;0.160;0.255
58;23904;0.003;0.053;0.502;1.429;0.135;0.219
58;24304;0.003;0.006;0.294;1.458;0.251;0.207
58;24704;0.004;0.012;0.271;1.747;0.329;0.135
58;25104;0.009;0.108;0.340;1.589;0.301;0.165
58;25504;0.003;0.009;0.335;1.728;0.322;0.099
58;25904;0.003;0.009;0.613;1.763;0.127;0.257
58;26304;0.004;0.009;0.379;1.942;0.196;0.187
58;26704;0.003;0.099;0.535;1.339;0.092;0.386
58;27104;0.011;0.007;0.466;2.379;0.178;0.138
58;27504;0.003;0.006;0.300;2.071;0.271;0.143
58;27904;0.003;0.074;0.240;1.755;0.303;0.128
58;28304;0.004;0.006;0.426;1.537;0.156;0.336
58;28704;0.004;0.010;0.246;1.572;0.221;0.228
58;29104;0.010;0.006;0.465;1.504;0.142;0.339
58;29504;0.003;0.015;0.428;1.758;0.179;0.180
58;29904;0.004;0.006;0.320;2.521;0.201;0.240
58;30304;0.003;0.008;0.195;2.126;0.316;0.067
58;30704;0.004;0.007;0.473;1.640;0.147;0.235
59;176;0.011;0.036;0.349;1.512;0.215;0.152
59;576;0.003;0.008;0.416;1.646;0.158;0.254
59;976;0.003;0.007;0.393;1.795;0.228;0.182
59;1376;0.003;0.035;0.265;1.446;0.271;0.138
59;1776;0.004;0.009;0.272;1.807;0.255;0.238
59;2176;0.009;0.008;0.284;1.628;0.204;0.271
59;2576;0.004;0.006;0.291;1.696;0.204;0.259
59;2976;0.004;0.011;0.291;1.799;0.224;0.235
59;3376;0.003;0.070;0.281;1.635;0.231;0.272
59;3776;0.003;0.010;0.254;1.542;0.258;0.226
59;4176;0.010;0.006;0.255;1.518;0.250;0.228
59;4576;0.003;0.006;0.278;1.573;0.265;0.203
59;4976;0.003;0.085;0.257;1.560;0.278;0.224
59;5376;0.004;0.007;0.285;1.607;0.258;0.217
59;5776;0.004;0.008;0.264;1.412;0.245;0.230
59;6176;0.009;0.008;0.285;1.765;0.230;0.244
59;6576;0.003;0.007;0.278;2.016;0.271;0.187
59;6976;0.003;0.010;0.465;1.790;0.166;0.248
59;7376;0.004;0.009;0.323;1.721;0.280;0.146
59;7776;0.003;0.007;0.298;2.251;0.311;0.137
59;8176;0.023;0.006;0.491;1.706;0.137;0.275
59;8576;0.003;0.012;0.367;1.729;0.201;0.198
59;8976;0.003;0.006;0.395;1.797;0.197;0.212
59;9376;0.003;0.010;0.521;1.701;0.154;0.241
59;9776;0.004;0.011;0.759;1.701;0.061;0.321
59;10176;0.010;0.012;0.605;2.064;0.120;0.328
59;10576;0.003;0.007;0.284;1.305;0.235;0.146
59;10976;0.004;0.011;0.344;1.682;0.244;0.190
59;11376;0.003;0.056;0.330;1.557;0.293;0.141
59;11776;0.003;0.082;0.325;1.836;0.208;0.210
59;12176;0.009;0.006;0.404;1.408;0.281;0.153
59;12576;0.004;0.006;0.507;1.450;0.142;0.243
59;12976;0.003;0.101;0.393;1.610;0.176;0.248
59;13376;0.003;0.006;0.345;1.591;0.227;0.185
59;13776;0.004;0.008;0.369;1.828;0.148;0.209
59;14176;0.010;0.009;0.455;1.647;0.175;0.130
59;14576;0.003;0.017;0.416;1.834;0.208;0.124
59;14976;0.004;0.008;0.574;1.442;0.114;0.305
59;15376;0.004;0.008;0.721;1.730;0.098;0.322
59;15776;0.003;0.007;0.468;1.820;0.146;0.237
59;16176;0.010;0.072;0.416;1.765;0.214;0.158
59;16576;0.003;0.007;0.243;1.650;0.402;0.079
59;16976;0.003;0.006;0.308;1.542;0.177;0.227
59;17376;0.004;0.006;0.245;1.971;0.234;0.145
59;17776;0.003;0.127;0.249;1.617;0.268;0.135
59;18176;0.011;0.009;0.546;1.930;0.091;0.242
59;18576;0.003;0.010;0.315;1.788;0.259;0.147
59;18976;0.003;0.014;0.460;1.513;0.208;0.213
59;19376;0.003;0.105;0.327;1.533;0.197;0.225
59;19776;0.003;0.008;0.421;1.856;0.216;0.177
59;20176;0.010;0.008;0.475;1.715;0.080;0.370
59;20576;0.004;0.008;0.727;2.272;0.121;0.338
59;20976;0.003;0.098;0.483;1.792;0.144;0.242
59;21376;0.004;0.007;0.578;1.618;0.113;0.326
59;21776;0.003;0.009;0.447;2.481;0.194;0.196
59;22176;0.010;0.010;0.483;1.475;0.194;0.202
59;22576;0.003;0.012;0.382;1.699;0.183;0.196
59;22976;0.004;0.011;0.389;2.089;0.262;0.128
59;23376;0.003;0.006;0.380;2.384;0.263;0.177
59;23776;0.003;0.010;0.311;1.559;0.274;0.091
59;24176;0.009;0.049;0.207;1.656;0.314;0.125
59;24576;0.003;0.009;0.349;2.722;0.266;0.133
59;24976;0.004;0.011;0.231;2.038;0.274;0.111
59;25376;0.004;0.007;0.398;1.698;0.185;0.246
59;25776;0.003;0.116;0.248;2.059;0.265;0.144
59;26176;0.010;0.008;0.533;1.946;0.062;0.339
59;26576;0.003;0.006;0.400;1.678;0.366;0.084
59;26976;0.003;0.073;0.473;2.159;0.155;0.183
59;27376;0.003;0.006;0.538;1.659;0.149;0.249
59;27776;0.004;0.043;0.303;2.297;0.270;0.128
59;28176;0.009;0.008;0.347;2.038;0.265;0.155
59;28576;0.003;0.010;0.342;1.599;0.306;0.071
59;28976;0.003;0.006;0.351;1.546;0.218;0.239
59;29376;0.004;0.006;0.454;1.707;0.190;0.195
59;29776;0.004;0.007;0.352;1.676;0.196;0.246
59;30176;0.011;0.094;0.491;1.908;0.163;0.253
59;30576;0.003;0.006;0.340;1.443;0.254;0.179
60;48;0.010;0.008;0.395;1.810;0.288;0.064
60;448;0.003;0.006;0.342;1.762;0.206;0.175
60;848;0.003;0.051;0.429;1.625;0.162;0.250
60;1248;0.010;0.006;0.266;1.549;0.262;0.154
60;1648;0.004;0.006;0.485;1.638;0.178;0.250
60;2048;0.004;0.007;0.379;1.644;0.208;0.189
60;2448;0.003;0.057;0.230;1.864;0.378;0.054
60;2848;0.004;0.010;0.250;1.715;0.385;0.053
60;3248;0.011;0.008;0.488;1.390;0.070;0.263
60;3648;0.004;0.009;0.307;1.889;0.234;0.151
60;4048;0.003;0.055;0.366;1.792;0.198;0.190
60;4448;0.004;0.006;0.645;1.712;0.106;0.335
60;4848;0.004;0.007;0.402;1.805;0.155;0.202
60;5248;0.011;0.008;0.523;1.769;0.145;0.227
60;5648;0.003;0.009;0.316;1.364;0.226;0.182
60;6048;0.004;0.006;0.280;1.547;0.338;0.121
60;6448;0.004;0.037;0.329;2.038;0.185;0.187
60;6848;0.003;0.028;0.374;1.902;0.240;0.098
60;7248;0.022;0.010;0.320;1.783;0.170;0.249
60;7648;0.003;0.008;0.391;2.076;0.212;0.154
60;8048;0.003;0.011;0.348;1.686;0.235;0.122
60;8448;0.003;0.061;0.335;1.755;0.221;0.082
60;8848;0.003;0.022;0.633;1.804;0.095;0.339
60;9248;0.009;0.006;0.372;1.749;0.130;0.226
60;9648;0.004;0.009;0.566;1.676;0.082;0.365
60;10048;0.004;0.007;0.466;2.237;0.183;0.176
60;10448;0.003;0.088;0.462;1.777;0.155;0.310
60;10848;0.004;0.008;0.445;1.652;0.175;0.307
60;11248;0.010;0.010;0.371;2.433;0.184;0.172
60;11648;0.004;0.006;0.369;1.760;0.224;0.197
60;12048;0.003;0.066;0.315;1.719;0.285;0.140
60;12448;0.003;0.009;0.536;1.786;0.180;0.153
60;12848;0.003;0.012;0.511;1.948;0.158;0.274
60;13248;0.010;0.006;0.405;1.760;0.202;0.241
60;13648;0.003;0.010;0.380;1.517;0.273;0.137
60;14048;0.003;0.010;0.357;1.577;0.170;0.217
60;14448;0.003;0.075;0.374;1.949;0.200;0.210
60;14848;0.003;0.010;0.393;2.333;0.115;0.286
60;15248;0.009;0.007;0.517;1.928;0.192;0.294
60;15648;0.004;0.006;0.321;1.609;0.116;0.340
60;16048;0.003;0.010;0.414;1.931;0.206;0.196
60;16448;0.003;0.008;0.607;1.598;0.052;0.447
60;16848;0.003;0.090;0.430;1.726;0.123;0.315
60;17248;0.010;0.006;0.402;1.800;0.182;0.268
60;17648;0.003;0.009;0.677;1.559;0.095;0.267
60;18048;0.003;0.041;0.342;2.093;0.184;0.273
60;18448;0.004;0.007;0.765;2.378;0.071;0.283
60;18848;0.004;0.006;0.319;1.535;0.206;0.168
60;19248;0.013;0.008;0.581;1.763;0.131;0.272
60;19648;0.003;0.017;0.660;1.769;0.095;0.295
60;20048;0.004;0.006;0.723;1.985;0.085;0.403
60;20448;0.004;0.006;0.481;1.660;0.150;0.213
60;20848;0.003;0.006;0.235;2.052;0.373;0.054
60;21248;0.010;0.009;0.532;1.634;0.151;0.230
60;21648;0.003;0.012;0.722;2.228;0.089;0.253
60;22048;0.004;0.006;0.336;1.809;0.303;0.088
60;22448;0.003;0.008;0.382;1.548;0.181;0.228
60;22848;0.004;0.009;0.418;1.799;0.438;0.289
60;23248;0.011;0.077;0.271;1.651;0.233;0.249
60;23648;0.003;0.006;0.272;1.860;0.211;0.274
60;24048;0.004;0.006;0.289;1.892;0.205;0.279
60;24448;0.004;0.006;0.288;1.764;0.200;0.276
60;24848;0.003;0.094;0.267;1.526;0.265;0.221
60;25248;0.010;0.007;0.252;1.573;0.223;0.257
60;25648;0.003;0.009;0.281;1.705;0.259;0.213
60;26048;0.003;0.077;0.271;2.282;0.219;0.255
60;26448;0.003;0.079;0.284;1.677;0.264;0.213
60;26848;0.004;0.006;0.357;1.527;0.185;0.268
60;27248;0.009;0.006;0.316;1.896;0.249;0.171
60;27648;0.003;0.008;0.166;1.651;0.358;0.093
60;28048;0.003;0.092;0.356;1.944;0.235;0.177
60;28448;0.003;0.010;0.493;1.656;0.152;0.246
60;28848;0.004;0.008;0.363;2.113;0.241;0.138
60;29248;0.009;0.012;0.401;1.660;0.152;0.169
60;29648;0.003;0.009;0.353;1.800;0.250;0.163
60;30048;0.004;0.006;0.359;1.536;0.151;0.252
60;30448;0.003;0.009;0.342;1.502;0.215;0.148
60;30848;0.003;0.011;0.355;1.381;0.250;0.183
61;320;0.010;0.022;0.236;1.767;0.230;0.181
61;720;0.003;0.008;0.613;2.081;0.122;0.297
61;1120;0.003;0.068;0.354;1.797;0.243;0.137
61;1520;0.004;0.009;0.320;1.721;0.154;0.310
61;1920;0.004;0.010;0.323;1.977;0.237;0.128
61;2320;0.011;0.007;0.381;1.697;0.210;0.109
61;2720;0.003;0.010;0.291;1.831;0.201;0.192
61;3120;0.004;0.007;0.312;1.638;0.344;0.087
61;3520;0.004;0.007;0.599;1.890;0.089;0.310
61;3920;0.004;0.009;0.433;1.507;0.135;0.295
61;4320;0.022;0.012;0.353;1.679;0.256;0.109
61;4720;0.003;0.006;0.192;1.655;0.332;0.120
61;5120;0.004;0.006;0.333;1.704;0.249;0.119
61;5520;0.003;0.012;0.257;1.629;0.234;0.184
61;5920;0.003;0.014;0.211;1.750;0.326;0.131
61;6320;0.010;0.082;0.433;1.941;0.159;0.235
61;6720;0.003;0.006;0.149;1.658;0.469;0.038
61;7120;0.004;0.011;0.357;1.594;0.208;0.143
61;7520;0.003;0.008;0.204;1.417;0.454;0.079
61;7920;0.003;0.085;0.365;1.627;0.206;0.200
61;8320;0.011;0.006;0.301;2.296;0.279;0.069
61;8720;0.003;0.008;0.418;1.707;0.173;0.210
61;9120;0.004;0.011;0.326;1.450;0.304;0.082
61;9520;0.003;0.108;0.447;1.541;0.130;0.193
61;9920;0.004;0.011;0.329;1.811;0.259;0.166
61;10320;0.010;0.008;0.403;1.425;0.184;0.211
61;10720;0.003;0.014;0.277;1.947;0.300;0.058
61;11120;0.003;0.009;0.348;1.733;0.205;0.254
61;11520;0.004;0.007;0.482;1.830;0.102;0.295
61;11920;0.003;0.036;0.423;1.924;0.167;0.101
61;12320;0.010;0.008;0.344;1.636;0.221;0.211
61;12720;0.003;0.009;0.530;1.916;0.170;0.192
61;13120;0.004;0.006;0.816;1.894;0.058;0.611
61;13520;0.004;0.010;0.282;2.229;0.281;0.106
61;13920;0.004;0.011;0.383;1.864;0.183;0.204
61;14320;0.009;0.086;0.346;1.593;0.353;0.058
61;14720;0.004;0.006;0.559;1.758;0.089;0.324
61;15120;0.003;0.028;0.458;1.533;0.137;0.193
61;15520;0.003;0.079;0.441;1.506;0.187;0.195
61;15920;0.003;0.105;0.330;1.656;0.243;0.169
61;16320;0.010;0.010;0.583;1.772;0.072;0.353
61;16720;0.003;0.007;0.375;1.691;0.282;0.138
61;17120;0.004;0.008;0.417;1.846;0.124;0.346
61;17520;0.003;0.071;0.439;1.668;0.156;0.268
61;17920;0.004;0.010;0.276;1.721;0.230;0.197
61;18320;0.010;0.008;0.368;1.623;0.198;0.177
61;18720;0.004;0.006;0.314;1.747;0.270;0.104
61;19120;0.003;0.110;0.489;1.887;0.148;0.264
61;19520;0.004;0.009;0.388;1.699;0.180;0.181
61;19920;0.003;0.011;0.456;1.565;0.134;0.230
61;20320;0.009;0.009;0.505;1.655;0.109;0.245
61;20720;0.003;0.011;0.217;1.650;0.268;0.141
61;21120;0.003;0.011;0.298;1.473;0.267;0.195
61;21520;0.003;0.054;0.339;1.598;0.176;0.248
61;21920;0.004;0.006;0.327;1.491;0.252;0.157
61;22320;0.011;0.006;0.258;1.629;0.296;0.117
61;22720;0.004;0.008;0.418;1.976;0.164;0.221
61;23120;0.003;0.044;0.236;1.714;0.305;0.114
61;23520;0.004;0.007;0.331;1.981;0.209;0.223
61;23920;0.003;0.006;0.474;1.655;0.150;0.137
61;24320;0.009;0.009;0.593;1.810;0.135;0.239
61;24720;0.003;0.010;0.475;1.632;0.156;0.240
61;25120;0.003;0.011;0.305;1.753;0.355;0.089
61;25520;0.004;0.009;0.510;1.575;0.147;0.233
61;25920;0.003;0.093;0.711;1.903;0.088;0.303
61;26320;0.020;0.007;0.391;2.087;0.236;0.178
61;26720;0.003;0.007;0.361;1.498;0.184;0.247
61;27120;0.003;0.012;0.511;1.707;0.062;0.387
61;27520;0.003;0.052;0.348;1.391;0.175;0.203
61;27920;0.003;0.010;0.675;1.617;0.100;0.373
61;28320;0.009;0.012;0.596;1.640;0.093;0.342
61;28720;0.003;0.013;0.500;1.621;0.109;0.346
61;29120;0.004;0.006;0.433;1.753;0.157;0.239
61;29520;0.004;0.006;0.384;1.710;0.198;0.191
61;29920;0.003;0.007;0.399;1.734;0.228;0.111
61;30320;0.011;0.096;0.279;1.776;0.260;0.116
61;30720;0.003;0.006;0.472;1.433;0.170;0.202
62;192;0.011;0.010;0.532;2.109;0.141;0.257
62;592;0.003;0.011;0.448;1.991;0.182;0.200
62;992;0.004;0.008;0.440;1.599;0.192;0.220
62;1392;0.011;0.014;0.472;1.702;0.139;0.199
62;1792;0.004;0.008;0.660;1.986;0.092;0.351
62;2192;0.003;0.089;0.224;1.815;0.222;0.184
62;2592;0.003;0.006;0.447;1.750;0.162;0.217
62;2992;0.004;0.010;0.423;1.632;0.225;0.111
62;3392;0.010;0.010;0.291;1.596;0.295;0.136
62;3792;0.003;0.010;0.358;1.866;0.201;0.144
62;4192;0.004;0.012;0.497;2.345;0.189;0.204
62;4592;0.003;0.008;0.311;1.758;0.214;0.286
62;4992;0.003;0.009;0.271;2.335;0.258;0.231
62;5392;0.010;0.083;0.259;1.563;0.255;0.233
62;5792;0.003;0.007;0.282;1.540;0.213;0.267
62;6192;0.003;0.008;0.283;1.823;0.218;0.278
62;6592;0.004;0.006;0.289;1.831;0.250;0.221
62;6992;0.003;0.006;0.298;1.678;0.207;0.256
62;7392;0.010;0.065;0.313;1.534;0.193;0.282
62;7792;0.004;0.006;0.399;1.818;0.181;0.210
62;8192;0.003;0.009;0.369;1.620;0.194;0.208
62;8592;0.003;0.009;0.263;1.765;0.378;0.115
62;8992;0.003;0.060;0.432;1.792;0.193;0.195
62;9392;0.010;0.011;0.346;1.641;0.200;0.183
62;9792;0.003;0.009;0.319;1.923;0.228;0.210
62;10192;0.003;0.010;0.427;1.634;0.166;0.213
62;10592;0.004;0.008;0.656;1.683;0.120;0.249
62;10992;0.003;0.103;0.299;1.826;0.253;0.130
62;11392;0.010;0.008;0.427;1.861;0.158;0.247
62;11792;0.003;0.006;0.388;1.717;0.173;0.206
62;12192;0.003;0.007;0.446;1.769;0.154;0.184
62;12592;0.003;0.091;0.341;1.550;0.207;0.186
62;12992;0.003;0.008;0.457;1.910;0.160;0.223
62;13392;0.009;0.012;0.432;1.713;0.211;0.170
62;13792;0.003;0.006;0.312;1.594;0.287;0.154
62;14192;0.003;0.007;0.464;1.819;0.135;0.232
62;14592;0.003;0.009;0.249;1.629;0.447;0.061
62;14992;0.004;0.007;0.681;1.783;0.114;0.285
62;15392;0.011;0.010;0.316;2.021;0.336;0.068
62;15792;0.003;0.012;0.764;1.572;0.071;0.371
62;16192;0.004;0.006;0.714;1.732;0.036;0.524
62;16592;0.003;0.114;0.376;1.647;0.290;0.090
62;16992;0.004;0.008;0.286;1.691;0.248;0.155
62;17392;0.010;0.014;0.599;1.844;0.133;0.298
62;17792;0.004;0.006;0.441;1.757;0.194;0.181
62;18192;0.003;0.074;0.595;1.735;0.085;0.322
62;18592;0.003;0.007;0.298;1.596;0.234;0.057
62;18992;0.003;0.007;0.446;1.929;0.174;0.184
62;19392;0.009;0.011;0.453;1.589;0.163;0.194
62;19792;0.003;0.011;0.281;1.585;0.170;0.220
62;20192;0.003;0.050;0.556;1.648;0.100;0.245
62;20592;0.004;0.007;0.435;1.516;0.177;0.176
62;20992;0.004;0.006;0.391;2.094;0.139;0.237
62;21392;0.023;0.009;0.564;1.567;0.136;0.252
62;21792;0.003;0.009;0.651;1.580;0.062;0.455
62;22192;0.004;0.011;0.735;1.871;0.072;0.382
62;22592;0.003;0.097;0.638;1.829;0.087;0.318
62;22992;0.004;0.009;0.462;1.648;0.186;0.234
62;23392;0.010;0.039;0.261;1.801;0.311;0.098
62;23792;0.003;0.008;0.324;1.622;0.311;0.152
62;24192;0.004;0.010;0.543;1.724;0.137;0.289
62;24592;0.004;0.006;0.337;1.640;0.250;0.142
62;24992;0.003;0.011;0.370;1.801;0.200;0.206
62;25392;0.010;0.047;0.291;1.607;0.266;0.135
62;25792;0.004;0.009;0.572;1.348;0.050;0.330
62;26192;0.004;0.007;0.411;1.749;0.181;0.243
62;26592;0.003;0.008;0.713;2.628;0.140;0.214
62;26992;0.003;0.093;0.411;2.085;0.206;0.194
62;27392;0.011;0.009;0.288;1.728;0.311;0.046
62;27792;0.004;0.008;0.345;2.127;0.127;0.106
62;28192;0.004;0.009;0.579;1.797;0.125;0.240
62;28592;0.003;0.084;0.413;1.408;0.160;0.237
62;28992;0.004;0.009;0.525;1.619;0.163;0.212
62;29392;0.009;0.008;0.701;2.194;0.121;0.315
62;29792;0.004;0.007;0.418;1.732;0.198;0.156
62;30192;0.004;0.008;0.308;1.670;0.246;0.133
62;30592;0.003;0.011;0.423;1.781;0.157;0.219
63;64;0.013;0.033;0.476;1.632;0.215;0.223
63;464;0.011;0.009;0.318;1.796;0.246;0.245
63;864;0.003;0.010;0.274;1.494;0.226;0.253
63;1264;0.004;0.007;0.267;1.566;0.272;0.216
63;1664;0.003;0.007;0.332;1.896;0.218;0.209
63;2064;0.004;0.007;1.896;1.763;1.877;2.235
63;2464;0.012;0.104;0.266;1.478;0.322;0.182
63;2864;0.003;0.007;0.286;1.689;0.236;0.258
63;3264;0.004;0.012;0.286;1.687;0.270;0.227
63;3664;0.003;0.011;0.264;1.646;0.276;0.215
63;4064;0.004;0.007;0.277;1.749;0.230;0.236
63;4464;0.011;0.008;0.263;1.525;0.282;0.201
63;4864;0.003;0.008;0.398;1.839;0.170;0.275
63;5264;0.003;0.008;0.408;2.007;0.090;0.386
63;5664;0.003;0.008;0.259;1.402;0.280;0.147
63;6064;0.004;0.009;0.291;1.690;0.197;0.222
63;6464;0.010;0.105;0.263;1.994;0.336;0.132
63;6864;0.004;0.009;0.312;1.711;0.236;0.117
63;7264;0.004;0.011;0.416;1.763;0.165;0.179
63;7664;0.003;0.008;0.645;1.789;0.111;0.287
63;8064;0.003;0.059;0.621;1.720;0.101;0.286
63;8464;0.010;0.009;0.285;1.693;0.210;0.165
63;8864;0.003;0.007;0.319;1.706;0.241;0.147
63;9264;0.003;0.094;0.576;2.015;0.128;0.329
63;9664;0.004;0.006;0.395;1.795;0.182;0.166
63;10064;0.004;0.011;0.336;1.747;0.229;0.170
63;10464;0.024;0.009;0.349;1.835;0.345;0.049
63;10864;0.003;0.008;0.375;1.763;0.161;0.242
63;11264;0.003;0.083;0.324;1.815;0.239;0.177
63;11664;0.003;0.067;0.380;1.795;0.147;0.220
63;12064;0.004;0.010;0.577;1.622;0.131;0.235
63;12464;0.009;0.006;0.222;2.079;0.463;0.032
63;12864;0.003;0.006;0.393;1.428;0.159;0.260
63;13264;0.003;0.012;0.373;1.866;0.207;0.233
63;13664;0.003;0.006;0.435;1.492;0.201;0.148
63;14064;0.003;0.007;0.732;1.612;0.100;0.334
63;14464;0.010;0.086;0.691;1.739;0.076;0.307
63;14864;0.003;0.034;0.448;1.699;0.173;0.247
63;15264;0.003;0.010;0.231;1.702;0.308;0.068
63;15664;0.003;0.011;0.251;1.335;0.243;0.189
63;16064;0.003;0.009;0.253;1.579;0.458;0.067
63;16464;0.011;0.048;0.424;1.581;0.216;0.228
63;16864;0.004;0.006;0.321;1.610;0.269;0.166
